dstport,protocol,tag
29237,icmp,sv_P5
55376,udp,sv_P5
39753,icmp,sv_P5
30375,icmp,sv_P4
47918,icmp,sv_P1
15074,udp,email
9089,tcp,sv_P2
60336,udp,sv_P1
8761,tcp,sv_P5
18235,udp,sv_P2
28315,tcp,sv_P4
16053,udp,sv_P4
60753,tcp,sv_P3
39713,icmp,sv_P4
25151,udp,sv_P5
31279,icmp,sv_P2
40972,icmp,sv_P4
23297,icmp,sv_P4
22589,tcp,sv_P1
20105,tcp,sv_P1
16981,tcp,sv_P4
17449,udp,sv_P4
37850,icmp,sv_P1
52275,icmp,sv_P1
28739,udp,sv_P1
406,icmp,sv_P5
34945,tcp,sv_P5
31126,udp,sv_P4
4544,udp,sv_P2
13353,udp,sv_P5
41746,icmp,sv_P5
45419,udp,sv_P2
40552,tcp,sv_P1
55742,tcp,sv_P3
17537,udp,sv_P2
6459,udp,sv_P4
29810,udp,sv_P5
22309,icmp,sv_P1
6786,icmp,sv_P4
5049,icmp,sv_P2
53260,udp,sv_P5
48270,icmp,sv_P5
49986,udp,sv_P4
24703,udp,sv_P1
6881,udp,sv_P3
5073,udp,sv_P5
21414,icmp,sv_P3
27984,icmp,sv_P1
52254,udp,sv_P5
22769,tcp,sv_P2
26755,udp,sv_P3
39897,tcp,sv_P3
11423,icmp,sv_P3
63648,tcp,sv_P4
53226,tcp,email
26673,icmp,sv_P4
48919,icmp,email
3084,icmp,email
59283,icmp,sv_P3
20100,icmp,sv_P4
19901,tcp,sv_P5
44311,udp,sv_P5
20743,tcp,sv_P5
29089,tcp,sv_P5
52161,tcp,sv_P4
32833,udp,sv_P4
31177,tcp,sv_P3
26389,udp,sv_P4
47825,udp,sv_P1
48268,udp,sv_P4
13148,tcp,sv_P5
42377,icmp,email
33827,tcp,sv_P1
54037,tcp,sv_P3
57709,tcp,sv_P1
34866,tcp,sv_P2
58903,icmp,sv_P5
9628,udp,email
64870,udp,sv_P5
8064,tcp,sv_P3
5469,icmp,sv_P4
28798,icmp,sv_P3
1547,udp,sv_P4
33102,tcp,sv_P4
9428,icmp,sv_P4
37409,icmp,email
33692,udp,email
61466,icmp,sv_P4
47263,icmp,sv_P3
152,udp,sv_P3
50818,udp,email
63478,udp,sv_P1
8461,tcp,sv_P1
37233,udp,sv_P1
2610,udp,sv_P3
53696,udp,sv_P1
25817,udp,sv_P2
22872,icmp,sv_P3
52022,udp,sv_P5
5166,tcp,sv_P5
19060,tcp,sv_P5
35637,icmp,sv_P2
9064,udp,email
44970,icmp,sv_P2
19695,tcp,sv_P2
48942,tcp,sv_P5
62886,tcp,sv_P5
4340,tcp,email
58911,udp,sv_P5
60837,icmp,sv_P4
5031,udp,sv_P5
25554,udp,sv_P1
27895,tcp,sv_P1
61851,icmp,sv_P2
32770,udp,email
34337,tcp,sv_P5
33081,tcp,sv_P1
57382,icmp,sv_P5
16466,icmp,sv_P4
8457,icmp,sv_P4
12531,tcp,sv_P3
18619,udp,sv_P5
45285,icmp,sv_P4
56655,udp,sv_P2
7780,icmp,sv_P3
60486,tcp,sv_P3
12524,icmp,sv_P1
3999,udp,sv_P2
21684,icmp,email
26911,udp,sv_P2
59954,tcp,sv_P1
3436,tcp,sv_P5
46728,tcp,email
14123,udp,sv_P2
4535,tcp,sv_P1
49419,tcp,sv_P5
12359,tcp,email
55076,tcp,sv_P2
35812,icmp,sv_P2
21994,tcp,sv_P5
13815,udp,sv_P4
49267,udp,sv_P3
2377,icmp,sv_P1
5302,icmp,email
59907,udp,sv_P5
3093,udp,sv_P3
4505,udp,sv_P4
35879,icmp,sv_P1
60981,icmp,sv_P3
60418,udp,sv_P2
11077,tcp,sv_P3
56961,tcp,sv_P2
8691,udp,sv_P2
58082,icmp,email
25632,udp,sv_P5
