Tag Counts:
Tag,Count
untagged,95114
sv_p1,793
sv_p5,886
email,806
sv_p3,812
sv_p4,778
sv_p2,811

Port/Protocol Combination Counts:
Port,Protocol,Count
12768,tcp,1
14600,udp,1
15415,udp,1
1342,udp,2
28360,tcp,3
17619,udp,3
36823,tcp,4
55521,udp,1
11136,tcp,2
51470,tcp,2
16569,tcp,1
29528,udp,1
36799,tcp,1
2017,udp,1
54954,tcp,1
23142,tcp,3
63999,udp,1
41882,tcp,1
8271,tcp,2
63983,udp,1
29694,udp,2
58738,udp,2
13765,tcp,2
58540,udp,2
51600,udp,2
58810,udp,1
1726,udp,4
21704,udp,2
29398,tcp,2
62969,tcp,3
54003,udp,1
12819,tcp,1
60781,tcp,1
5985,udp,2
15470,tcp,1
9605,tcp,1
22760,udp,1
56894,tcp,1
50540,udp,2
26253,tcp,1
46913,tcp,1
44155,udp,2
20173,tcp,1
34330,udp,1
29179,udp,1
51126,tcp,2
50716,tcp,1
12405,tcp,1
30642,udp,1
12127,tcp,5
43019,udp,1
16066,tcp,1
21724,udp,1
16669,tcp,1
6772,udp,1
42173,tcp,1
30293,udp,2
20418,udp,2
55430,udp,1
21329,udp,2
47106,tcp,2
7239,udp,3
25255,udp,2
46085,udp,4
57715,tcp,1
26768,udp,1
47308,tcp,1
28293,tcp,5
46142,tcp,2
37393,tcp,3
60733,tcp,1
4343,tcp,2
62200,tcp,1
8022,tcp,2
14962,tcp,2
9588,udp,1
29199,udp,2
38404,udp,1
62980,udp,1
61886,tcp,1
58038,tcp,1
14296,tcp,1
34448,tcp,2
41871,udp,2
58284,tcp,3
34117,udp,1
38104,udp,1
8551,udp,1
38033,tcp,2
3951,udp,2
6274,tcp,1
12842,udp,1
38192,udp,3
33040,udp,2
34302,tcp,1
59617,udp,1
64201,udp,2
21868,tcp,2
41645,tcp,2
63095,tcp,1
58251,tcp,1
1609,udp,2
60853,tcp,3
55482,udp,1
49208,udp,2
30630,tcp,1
28022,tcp,1
30210,tcp,2
32148,tcp,4
62270,udp,4
10617,tcp,1
53926,tcp,1
24588,tcp,1
5030,udp,1
20239,udp,3
33583,udp,1
31869,tcp,2
13540,udp,1
3709,udp,2
13648,udp,2
29986,tcp,3
30775,udp,1
58273,tcp,3
29654,tcp,1
35439,tcp,3
23213,udp,1
54608,tcp,1
34046,tcp,3
23017,tcp,3
47026,tcp,3
34429,tcp,2
57238,udp,2
55924,tcp,3
15535,tcp,1
14701,tcp,2
55790,udp,2
48378,udp,1
12625,tcp,1
4814,udp,1
42873,udp,2
1635,udp,1
63560,udp,1
61018,tcp,1
40243,udp,2
27880,tcp,3
15449,udp,2
1956,udp,1
60273,udp,1
50626,udp,1
17115,udp,1
54572,udp,1
18979,udp,3
24804,tcp,1
23859,udp,1
42666,tcp,1
16917,tcp,1
12452,udp,3
51360,udp,3
47508,tcp,1
63136,udp,2
5723,udp,1
18009,udp,3
21597,udp,1
28773,tcp,1
8917,udp,1
50210,tcp,1
63687,udp,4
9764,udp,2
38309,udp,1
3799,udp,2
31427,tcp,1
38286,udp,1
46920,udp,2
51345,tcp,1
12489,udp,2
40373,tcp,1
8795,udp,1
2074,udp,5
9136,tcp,1
59625,udp,1
39519,udp,1
50854,tcp,2
16012,udp,2
55269,udp,1
56432,tcp,1
30077,udp,1
9479,tcp,1
36242,tcp,2
34044,tcp,2
10675,tcp,1
23087,udp,2
4502,tcp,2
51424,tcp,2
47495,tcp,3
60961,udp,1
42003,tcp,1
9426,tcp,2
64480,udp,1
55090,udp,1
23475,udp,2
21013,udp,1
31993,udp,3
28299,udp,1
13481,tcp,1
19520,tcp,2
23193,udp,1
58580,tcp,1
41784,udp,1
54216,tcp,1
6049,udp,1
55538,udp,1
3623,udp,3
62412,udp,3
17490,udp,1
16303,tcp,1
56031,tcp,1
59369,tcp,2
57362,udp,3
32196,tcp,3
45375,tcp,1
45965,udp,2
24853,tcp,1
46959,tcp,1
51268,udp,3
14926,tcp,1
21916,tcp,2
6516,udp,1
5266,tcp,1
30195,tcp,3
35593,udp,2
51236,tcp,1
37240,udp,4
18976,tcp,1
34241,tcp,1
16230,udp,2
20424,tcp,2
9720,udp,1
12936,tcp,2
1733,udp,1
11729,udp,2
42905,tcp,2
48993,tcp,2
62819,udp,2
26886,udp,1
61414,tcp,1
224,udp,2
49695,udp,1
41758,udp,2
13170,udp,2
71,tcp,4
23491,tcp,1
11535,udp,2
48788,udp,2
59321,udp,1
57666,udp,2
43832,udp,2
15431,tcp,2
46063,tcp,5
56619,udp,1
22018,udp,2
28695,udp,1
58596,tcp,1
4673,tcp,1
2546,udp,1
15491,udp,1
32480,udp,2
14426,tcp,1
27719,tcp,1
25212,tcp,1
61014,udp,3
33657,udp,1
38453,udp,2
32192,tcp,2
64070,tcp,1
3248,udp,4
52409,tcp,1
34803,udp,1
42780,tcp,1
60183,udp,1
3551,udp,1
18404,tcp,1
45998,udp,3
12512,udp,1
23276,udp,1
7846,tcp,2
5333,udp,1
16937,udp,1
12389,udp,2
11897,tcp,2
33106,tcp,2
26386,tcp,3
51340,udp,1
56403,tcp,1
2870,tcp,1
41833,tcp,2
45290,tcp,1
28573,udp,2
24178,tcp,2
22339,udp,1
58823,udp,1
21346,tcp,2
59624,tcp,2
4058,tcp,1
65320,udp,3
52467,tcp,1
48370,tcp,1
51537,udp,3
57913,udp,2
2973,udp,1
31496,tcp,2
13278,tcp,3
18037,tcp,1
61018,udp,2
11105,udp,2
26041,udp,1
48197,tcp,1
44801,tcp,1
44224,udp,2
8530,udp,1
24235,tcp,2
3007,udp,2
5730,tcp,2
11276,tcp,1
56741,tcp,2
486,tcp,5
64091,tcp,1
4999,udp,1
34817,tcp,1
65330,udp,1
26424,udp,3
43163,udp,2
53834,udp,1
51446,tcp,2
9506,tcp,2
43446,udp,1
53403,tcp,1
381,tcp,1
14275,tcp,1
27456,tcp,2
22004,udp,4
54470,tcp,2
29488,tcp,1
40401,tcp,2
7723,udp,3
48021,udp,1
8213,tcp,3
64886,udp,2
24672,tcp,1
14770,udp,2
23513,udp,3
9865,udp,1
22619,tcp,3
14177,udp,1
64184,tcp,1
721,udp,1
41985,tcp,1
60516,udp,2
42065,tcp,1
60422,tcp,1
65051,tcp,2
42574,tcp,1
9860,udp,2
22616,udp,1
18769,tcp,1
13374,tcp,1
7183,udp,2
39690,tcp,1
39500,tcp,2
35757,tcp,2
3400,tcp,1
52170,udp,1
37466,tcp,1
18211,tcp,1
3997,tcp,2
15803,udp,2
6684,tcp,2
15063,tcp,4
58587,tcp,1
60660,udp,2
64389,udp,1
12331,tcp,1
24968,tcp,2
9569,tcp,1
13851,udp,3
42954,tcp,1
15625,tcp,1
48221,tcp,3
42930,udp,1
24204,tcp,1
35433,tcp,1
28080,tcp,1
51653,tcp,1
44055,tcp,2
28356,tcp,1
64785,tcp,1
7097,udp,1
52594,tcp,1
45950,udp,1
52856,tcp,1
47240,tcp,1
46320,udp,2
12047,tcp,2
23282,udp,3
32651,tcp,1
3241,udp,2
35049,tcp,2
32263,tcp,2
36650,tcp,3
42369,tcp,2
21522,udp,1
8878,tcp,2
26657,tcp,1
60935,tcp,1
11888,udp,2
34669,tcp,1
28391,udp,2
26320,udp,2
3936,tcp,4
21996,udp,1
47747,tcp,1
37889,tcp,2
1288,udp,1
5183,tcp,1
16005,tcp,2
40325,tcp,3
63411,udp,1
26271,udp,1
54180,tcp,1
11947,tcp,1
6227,tcp,2
9368,udp,4
28011,udp,1
35559,tcp,1
41335,tcp,2
19048,udp,1
51034,tcp,1
53537,tcp,1
20722,tcp,3
13542,tcp,4
30265,udp,2
18757,udp,3
16721,tcp,2
26831,tcp,3
36500,udp,3
8994,tcp,2
52520,udp,2
27139,tcp,1
19274,udp,1
53546,tcp,4
435,tcp,1
513,udp,1
10264,udp,2
59330,tcp,1
29482,udp,1
45943,tcp,1
59240,udp,2
54875,tcp,2
7557,tcp,1
13802,udp,2
60858,tcp,1
12213,tcp,1
7295,tcp,3
45987,udp,6
7587,tcp,2
22590,udp,1
26058,tcp,1
19513,udp,3
18586,udp,2
37559,udp,4
39655,tcp,2
53398,udp,3
17795,udp,1
18968,tcp,1
35694,tcp,2
17559,udp,2
49239,udp,1
7852,udp,1
51743,udp,1
8898,udp,1
20473,udp,2
22337,tcp,2
13871,tcp,1
9067,tcp,1
12760,udp,2
20019,udp,4
34050,udp,1
38821,tcp,1
60463,udp,2
27390,tcp,1
7059,tcp,2
7708,udp,3
21429,udp,2
42085,udp,1
40219,udp,1
28921,udp,2
22308,tcp,3
49292,tcp,2
10079,udp,1
20290,tcp,1
60367,tcp,1
53601,udp,1
661,udp,1
12471,udp,2
26564,udp,2
42340,tcp,3
19698,tcp,1
1563,udp,4
19674,udp,2
63534,udp,1
50118,tcp,4
25109,tcp,1
59620,udp,1
10745,udp,1
29129,udp,2
50990,udp,2
53298,udp,1
5580,udp,1
27222,udp,1
40104,tcp,1
19226,udp,1
29957,tcp,1
31607,tcp,1
61537,tcp,1
45925,tcp,1
12094,udp,1
39439,udp,1
46583,udp,2
48478,tcp,1
8899,tcp,2
30023,udp,2
46010,tcp,3
62328,udp,2
8122,tcp,3
2218,tcp,4
41464,tcp,1
58039,tcp,4
15371,tcp,1
36504,tcp,1
57329,udp,1
34358,tcp,1
7462,tcp,3
33054,tcp,2
59288,tcp,2
32447,tcp,1
7993,tcp,3
48087,udp,2
30077,tcp,1
15853,tcp,2
7499,udp,1
61277,tcp,2
59515,tcp,1
30096,tcp,3
10348,tcp,1
54888,tcp,4
54680,tcp,1
24540,udp,3
44644,tcp,2
14867,udp,1
58843,udp,3
58606,tcp,1
35952,tcp,1
38510,udp,1
20749,tcp,2
33942,udp,1
35264,udp,1
61538,tcp,1
10874,tcp,1
50072,tcp,1
5167,udp,2
22389,udp,2
32605,udp,2
58573,tcp,2
47024,tcp,2
12165,tcp,1
53098,tcp,1
46614,udp,2
45420,tcp,2
24197,udp,1
60506,tcp,1
42444,tcp,2
31149,udp,1
39607,tcp,1
60888,tcp,3
21891,udp,1
10902,tcp,1
46989,udp,2
4061,tcp,1
4004,udp,1
50570,tcp,2
23706,udp,1
57396,tcp,1
55214,tcp,2
9515,udp,1
28898,tcp,1
61396,udp,1
7895,tcp,1
44872,udp,2
14053,tcp,3
7626,tcp,1
2845,udp,1
60876,tcp,2
11207,udp,2
54309,udp,2
33370,tcp,2
36755,udp,2
17934,udp,2
23652,udp,3
6563,udp,1
30221,udp,2
45287,tcp,4
39663,tcp,1
19770,tcp,2
26621,tcp,2
64648,tcp,2
18744,tcp,1
63032,tcp,1
19696,udp,2
357,udp,1
21118,tcp,1
58446,udp,1
13923,tcp,1
17474,tcp,1
58754,tcp,1
35399,udp,3
16754,tcp,1
63446,udp,2
19238,udp,2
29013,udp,3
8753,udp,1
64647,tcp,1
23326,tcp,1
8887,tcp,4
39334,udp,3
5852,udp,1
28844,tcp,2
38062,tcp,2
2978,tcp,3
21213,tcp,3
32782,udp,2
48410,udp,1
65418,udp,3
24345,udp,1
57542,udp,2
27871,tcp,1
23998,udp,3
59076,tcp,5
28284,udp,1
23201,udp,1
46389,tcp,3
49403,tcp,3
10676,tcp,1
10573,udp,3
40290,tcp,2
45289,udp,1
39914,udp,1
46860,tcp,4
64749,tcp,3
8100,tcp,1
13343,tcp,1
13587,udp,3
19498,udp,1
29697,tcp,1
52759,udp,2
53733,tcp,1
1624,tcp,2
42125,tcp,2
37852,udp,2
45165,udp,2
14346,udp,1
13622,tcp,1
571,tcp,1
58595,udp,1
16820,tcp,3
40117,tcp,1
46080,udp,2
30519,udp,3
47114,udp,1
45497,tcp,2
62882,udp,2
5938,udp,2
16874,udp,1
55696,udp,1
31535,tcp,2
79,tcp,1
55429,udp,3
57751,tcp,1
21106,udp,2
20662,udp,1
59113,tcp,2
4640,tcp,1
1245,tcp,1
40025,tcp,1
40684,tcp,1
58636,tcp,3
64223,udp,3
44735,tcp,2
51041,tcp,2
38653,tcp,2
54917,udp,1
50160,udp,1
29002,tcp,2
40319,tcp,2
57606,tcp,1
44820,tcp,2
47367,udp,2
61383,udp,2
56032,udp,1
13268,tcp,1
4584,udp,1
37899,udp,2
48286,udp,2
4834,udp,3
60518,tcp,3
46825,tcp,2
22433,tcp,1
15707,udp,2
43456,tcp,4
19458,tcp,2
49727,tcp,1
57579,udp,2
27450,udp,2
30022,udp,1
41754,tcp,1
11268,tcp,2
37209,udp,2
56500,tcp,1
44668,udp,2
45076,udp,1
48028,tcp,1
46672,udp,3
41,tcp,1
41602,udp,1
3312,udp,2
20468,udp,1
42462,udp,2
29993,tcp,2
54740,tcp,1
40013,tcp,2
49717,tcp,1
3555,udp,2
32390,udp,1
22879,tcp,2
60893,tcp,3
17497,udp,1
59198,udp,1
50371,tcp,2
184,tcp,1
23881,udp,2
39371,tcp,2
52607,udp,2
63229,udp,2
48414,udp,1
34513,tcp,1
4505,tcp,1
22386,tcp,2
47042,tcp,1
45872,tcp,2
18448,udp,2
43111,udp,2
38456,tcp,3
34705,tcp,1
46142,udp,1
41643,udp,1
30115,tcp,3
32741,udp,2
5073,tcp,1
60892,tcp,2
31366,udp,2
32068,udp,1
45060,tcp,2
49665,udp,1
25123,udp,2
41650,tcp,2
18029,tcp,2
9047,tcp,1
7179,udp,4
53247,udp,2
20688,udp,3
52872,udp,2
13741,tcp,2
27962,tcp,1
3231,udp,1
61118,tcp,1
33638,tcp,2
18675,tcp,1
33098,udp,1
8380,tcp,2
3526,udp,2
16724,tcp,1
329,tcp,2
54101,udp,1
61393,tcp,2
2129,tcp,2
49373,udp,3
6885,udp,1
30102,tcp,2
30151,tcp,2
31278,udp,1
33615,tcp,1
64337,udp,5
13285,udp,3
50975,tcp,2
54495,udp,3
55557,tcp,2
46326,udp,2
3469,tcp,1
59084,udp,1
18704,tcp,1
3711,udp,1
25607,udp,1
11361,udp,2
14283,udp,2
8593,tcp,1
2190,udp,2
56627,tcp,3
23287,udp,2
52061,tcp,2
53338,udp,2
28312,tcp,1
27696,udp,2
52589,udp,1
37591,udp,2
876,tcp,3
59329,udp,3
16600,tcp,3
37326,tcp,2
22965,udp,1
36862,tcp,3
24657,tcp,2
28162,udp,4
9825,udp,1
39881,tcp,3
49834,udp,3
65239,udp,4
56618,udp,1
38012,tcp,2
20463,tcp,1
32860,udp,4
36784,tcp,3
13584,tcp,4
47689,udp,1
47199,tcp,3
28665,tcp,1
3761,tcp,3
46372,udp,1
52675,udp,2
43386,tcp,2
45086,tcp,1
1204,udp,1
4927,udp,1
19136,udp,2
22880,tcp,2
27248,tcp,1
24807,udp,3
5263,udp,2
41420,tcp,1
55929,tcp,1
62767,tcp,1
25097,tcp,2
51604,tcp,1
49172,udp,1
53770,udp,1
26877,udp,1
32877,udp,1
49303,udp,1
32922,tcp,2
480,udp,1
2843,tcp,1
47872,udp,2
16541,udp,1
62140,tcp,1
27631,udp,6
15828,udp,2
5292,tcp,2
53185,tcp,2
1590,udp,2
3621,udp,2
22163,tcp,1
53749,tcp,2
58872,udp,1
4393,udp,3
55793,tcp,1
11526,tcp,4
55118,tcp,2
42046,udp,2
23785,tcp,2
25496,udp,1
53836,udp,2
7958,tcp,1
58032,udp,1
39875,udp,1
47070,tcp,1
7446,udp,3
19129,tcp,3
38778,udp,2
11725,tcp,2
53905,tcp,2
46311,tcp,1
4196,tcp,4
53550,udp,1
32252,tcp,2
55414,tcp,3
7664,tcp,2
9016,udp,2
11548,tcp,1
47030,udp,1
58560,udp,3
62522,tcp,2
27459,tcp,2
35718,udp,1
6471,udp,1
51755,tcp,1
53304,tcp,2
60799,udp,4
3522,tcp,2
39773,udp,2
18072,tcp,1
27607,tcp,1
5118,tcp,2
10748,tcp,2
31355,udp,2
18512,tcp,1
27497,udp,1
38272,udp,2
21129,udp,1
17347,tcp,2
259,tcp,4
1985,udp,2
40386,tcp,3
6544,udp,2
18998,udp,3
24525,udp,1
18060,tcp,2
33850,udp,2
23358,tcp,1
7849,udp,1
55221,tcp,1
18147,udp,2
63841,udp,2
53112,udp,1
2590,tcp,1
13134,tcp,1
34740,tcp,1
62500,tcp,2
15946,tcp,2
43517,udp,2
32774,udp,1
38535,tcp,2
15894,udp,1
7862,udp,1
28715,udp,1
27840,udp,1
36093,tcp,4
53854,tcp,3
12586,tcp,3
20088,udp,2
47283,tcp,1
6192,udp,2
49298,tcp,1
10915,tcp,2
2,tcp,3
41370,tcp,1
58857,udp,1
11835,tcp,2
10996,tcp,1
6095,tcp,2
65319,udp,1
60866,udp,1
5995,tcp,1
18262,udp,2
32238,udp,1
63481,udp,1
18096,tcp,2
36022,udp,1
32831,udp,2
15257,tcp,3
4892,tcp,2
58182,udp,3
62619,tcp,1
41481,udp,1
44692,tcp,1
5463,tcp,2
18439,udp,3
3039,tcp,3
3539,tcp,2
48944,tcp,1
59774,udp,1
56112,tcp,1
54981,udp,1
37694,udp,3
53599,tcp,1
18071,tcp,3
45095,tcp,4
21384,tcp,1
33374,udp,3
52412,udp,2
58422,udp,3
3893,udp,1
31673,tcp,1
4377,tcp,1
64405,tcp,1
49234,udp,1
49560,udp,2
31969,udp,3
13003,udp,1
21973,udp,1
13368,tcp,2
58707,udp,3
13750,udp,1
32882,tcp,1
59923,tcp,2
29103,tcp,1
58846,tcp,5
12543,tcp,2
52031,tcp,2
48017,udp,5
3125,udp,1
414,udp,1
41474,tcp,2
1719,udp,1
10263,udp,1
19299,tcp,2
37293,udp,1
15565,tcp,2
55069,tcp,3
20855,tcp,1
49259,tcp,1
23519,tcp,2
40357,tcp,2
52929,udp,2
36741,udp,3
41762,udp,1
24491,udp,4
2446,tcp,2
36156,tcp,2
18137,tcp,4
3147,udp,1
28767,udp,2
37070,tcp,2
57660,udp,1
29877,udp,2
51763,udp,1
8586,udp,4
64179,tcp,1
2229,udp,1
47118,udp,1
8538,udp,2
18505,tcp,1
26118,tcp,1
53161,tcp,2
38271,tcp,1
44319,tcp,1
10119,udp,2
54976,udp,3
46316,tcp,2
9061,udp,3
44069,udp,1
7303,udp,1
17834,udp,3
3624,udp,1
45159,udp,2
44729,udp,1
23005,tcp,1
1849,udp,2
3180,udp,1
7508,tcp,3
21038,udp,2
49722,udp,2
27794,udp,1
53972,tcp,2
40316,udp,3
17061,udp,2
42246,udp,3
45136,tcp,1
64838,tcp,1
46949,tcp,2
27603,tcp,1
9459,udp,1
33793,udp,3
40620,tcp,1
9156,tcp,3
45673,udp,2
4094,udp,2
33727,udp,1
46416,udp,3
44591,tcp,1
21562,tcp,2
12265,tcp,2
15740,udp,3
13940,tcp,1
997,udp,1
18674,udp,1
25775,tcp,2
46928,udp,1
38244,udp,2
46077,udp,3
50366,udp,1
36740,tcp,2
22064,udp,1
18584,udp,1
58074,tcp,1
54621,tcp,1
4651,tcp,1
45574,udp,1
27402,udp,1
46480,udp,1
29816,udp,1
35840,udp,1
63655,udp,1
11710,tcp,3
6822,tcp,1
30612,udp,1
36107,udp,1
56967,udp,1
32104,tcp,1
14629,tcp,3
62838,udp,1
39151,udp,1
40168,tcp,5
35994,tcp,2
55515,udp,1
10812,udp,4
27195,udp,3
23124,udp,2
46292,udp,1
3736,tcp,2
38598,udp,2
44475,udp,1
27225,tcp,2
27838,udp,1
22290,tcp,1
36808,tcp,2
60081,udp,3
16189,tcp,1
5839,udp,1
40335,tcp,1
62719,tcp,1
37178,udp,1
466,tcp,1
39525,tcp,1
28522,udp,4
55623,tcp,1
62722,udp,1
34610,tcp,2
3983,tcp,3
14441,udp,1
52598,udp,1
64012,tcp,2
37220,udp,2
20024,tcp,1
63727,tcp,2
52544,udp,4
3494,tcp,3
22175,udp,2
36728,udp,2
8408,tcp,1
7008,udp,3
15675,tcp,2
14276,tcp,2
34524,tcp,1
32008,udp,4
1135,tcp,1
14013,tcp,2
7320,udp,2
34983,udp,1
16799,tcp,3
33934,udp,3
63215,tcp,1
7270,udp,2
9654,tcp,4
5769,tcp,3
30204,tcp,2
31007,tcp,1
2006,tcp,2
37375,tcp,1
18831,tcp,1
2762,udp,1
19635,tcp,2
38546,udp,2
12310,udp,2
39095,udp,1
20497,tcp,3
54708,udp,2
22424,udp,2
32079,udp,2
37484,tcp,3
11253,tcp,2
53099,tcp,1
19414,udp,1
60903,udp,1
56991,udp,1
10533,tcp,1
26203,tcp,2
26662,udp,2
58251,udp,3
58975,tcp,1
23140,udp,2
42614,tcp,1
55112,udp,1
45246,tcp,3
43738,udp,4
16341,udp,1
32236,tcp,1
60889,udp,2
41101,udp,1
7892,tcp,1
3991,tcp,3
41191,udp,1
62563,udp,2
58773,tcp,1
42166,udp,3
13579,udp,2
33657,tcp,4
3679,udp,1
5241,tcp,2
44653,tcp,1
43064,tcp,1
31206,tcp,2
33371,tcp,1
38764,tcp,4
26704,udp,1
9657,udp,2
59666,udp,2
61278,udp,2
32615,tcp,1
64132,udp,2
60462,tcp,1
56690,tcp,3
24709,tcp,4
22188,tcp,1
51297,tcp,2
50414,udp,2
6580,tcp,2
4246,tcp,2
45502,tcp,1
34045,udp,2
28367,udp,2
10580,udp,3
40552,udp,1
53662,tcp,1
38008,tcp,1
8134,tcp,3
52003,tcp,2
63474,udp,1
61682,udp,2
31061,udp,3
45471,tcp,2
57126,udp,3
12870,tcp,1
27126,udp,1
62942,tcp,1
50188,tcp,2
56681,udp,2
12906,tcp,2
13442,tcp,1
10561,tcp,2
34941,tcp,1
45952,udp,1
47692,tcp,1
55521,tcp,1
47517,udp,2
36981,udp,2
30734,udp,2
14283,tcp,2
27316,tcp,1
19903,udp,3
50594,udp,1
59519,udp,2
12983,udp,3
63522,udp,2
15377,tcp,3
9223,tcp,3
62804,udp,1
45930,tcp,2
893,udp,2
27632,tcp,1
55436,tcp,2
31866,tcp,1
63043,udp,3
2438,udp,2
27923,tcp,1
26835,udp,2
17126,tcp,1
26563,udp,1
15346,udp,1
64255,tcp,2
16380,udp,1
45553,tcp,2
61497,tcp,4
19200,tcp,3
15855,udp,1
46374,udp,1
30374,udp,1
16675,udp,1
17162,udp,1
25706,tcp,2
14415,tcp,1
23285,tcp,1
32998,udp,3
2817,tcp,1
58995,udp,1
40427,tcp,3
13727,udp,2
38216,udp,1
